loc	genotype	lbsNPerAc	yieldPerAc.sp
Ames	B37 X OH43	75	139.291934351205
Ames	B37 X OH43	150	71.5206686820254
Ames	B37 X OH43	250	91.8887650951612
Crawfordsville	F42 X MO17	75	157.141224942781
Crawfordsville	F42 X MO17	150	194.605889221499
Crawfordsville	F42 X MO17	225	150.884968000851
Lincoln	SYNGENTA NK0760-3111	75	61.7692407197948
Lincoln	SYNGENTA NK0760-3111	150	65.3687920075133
Lincoln	SYNGENTA NK0760-3111	225	29.4533076286797
North Platte1	PHK56 X LH82	75	136.055091195531
North Platte1	PHK56 X LH82	150	210.894422746125
North Platte1	PHK56 X LH82	225	207.736731025317
North Platte2	2369 X PHZ51	75	121.379650029499
North Platte2	2369 X PHZ51	150	160.760799265647
North Platte2	2369 X PHZ51	225	190.123516046462
North Platte3	B14A X MO17	75	117.46600017741
North Platte3	B14A X MO17	150	70.9972819737484
North Platte3	B14A X MO17	225	93.6878675299341
Scottsbluff	B73 X 3IIH6	75	204.055976400581
Scottsbluff	B73 X 3IIH6	150	163.650140086741
Scottsbluff	B73 X 3IIH6	225	109.379218017063
