hybridHIPS,reseq
'IOWA I 205',I_205
2369,2369
2FACC,2FACC
3IIH6,DK3IIH6
4N506,4N506
66,NA
A12,A12
A344,A344
B105,B105
B14A,B14A
B37,B37
B7,B7
B73,B73
B84,B84
C.I. 540,CI_540
CI 3A,CI_3A
F42,F42
H95,H95
I159,I159
K201,K201
K64,K64
KYS,NA
L 289,L_289
LH123HT,LH123HT
LH145,LH145
LH162,LH162
LH185,LH185
LH195,LH195
LH198,LH198
LH74,LH74
LH82,LH82
MO17,Mo17
N209,N209
ND203,NA
OH43,Oh43
OS426,Os426
PHB47,PHB47
PHG39,PHG39
PHG47,PHG47
PHJ40,PHJ40
PHJ89,PHJ89
PHK56,PHK56
PHK76,PHK76
PHM49,NA
PHN46,PHN46
PHN82,PHN82
PHP02,PHP02
PHT69,NA
PHW52,PHW52
PHZ51,PHZ51
W606S,W606S
WF9,Wf9
